preferred_label,SNOMED_ID,UBERON_ID,Definition,synonyms,Source,Possible related names
uncinate fasciculus,SNOMED:369083001,UBERON:0003044,Hook-shaped association bundle connecting the anterior temporal lobe and amygdala with the orbitofrontal cortex via the limen insulae,UF; UNC; cerebellospinal tract; cerebral uncinate fasciculus; fasciculus fastigio-vestibularis; fastigiobulbar tract; hook bundle of Russell; russell's fasciculus; tractus cerebello-bulbaris; tractus uncinatus; tractus uncinatus (Lewandowsky); uncinate bundle of Russell; uncinate fascicle (Russell); uncinate fasciculus of Russell; uncinate fasciculus of cerebellum; uncinate fasciculus of pons; uncinate fasciculus of the pons; uncinate fasciculus-2 ; Unciform fasciculus,AFQ ; ICBM-DTI-81 ; Bullock_2022 ; XTRACT,cerebellospinal tract | fasciculus fastigio-vestibularis | fastigiobulbar tract | hook bundle of Russell | russell's fasciculus | tractus cerebello-bulbaris | tractus uncinatus | tractus uncinatus (Lewandowsky) | uncinate bundle of Russell | uncinate fascicle (Russell) | uncinate fasciculus of cerebellum | uncinate fasciculus of pons | uncinate fasciculus of Russell | uncinate fasciculus of the pons | uncinate fasciculus-2
ventral amygdalofugal pathway,,UBERON:0002745,"Efferent pathway from the amygdala projecting to the hypothalamus, thalamus, and basal forebrain; part of the limbic system",projectiones ventrales amygdalae; ventral amygdalofugal projection; ventral amygdalofugal pathway,Bullock_2022,tractus amygdalofugalis ventralis
callosum forceps minor,SNOMED:42932006,UBERON:0034678,Frontal forceps; callosal fibers connecting the two frontal lobes through the genu of the corpus callosum,"Anterior forceps; Forceps minor; Parietal radiation of corpus callosum; Structure of forceps minor; anterior forceps; anterior forceps of corpus callosum; anterior forceps of the corpus callosum; corpus callosum, anterior forceps; corpus callosum, anterior forceps (Arnold); corpus callosum, forceps minor; forceps frontalis; forceps minor; forceps minor corporis callosi; forceps minor of corpus callosum; forceps minor of the corpus callosum; frontal forceps; minor forceps",AFQ ; JHU_Tractography ; XTRACT,"anterior forceps | anterior forceps of the corpus callosum | corpus callosum, anterior forceps | corpus callosum, anterior forceps (Arnold) | corpus callosum, forceps minor | forceps frontalis | forceps minor | forceps minor corporis callosi | forceps minor of corpus callosum | forceps minor of the corpus callosum | frontal forceps"
callosum forceps major,SNOMED:80049006,UBERON:0034676,Occipital forceps; callosal fibers connecting the two occipital lobes through the splenium of the corpus callosum,"Forceps major; Occipital radiation of corpus callosum; Posterior forceps; Structure of forceps major; ccs-ma; corpus callosum, forceps major; corpus callosum, posterior forceps (Arnold); forceps major; forceps major corporis callosi; forceps major of corpus callosum; forceps major of the corpus callosum; forceps occipitalis; major forceps; occipital forceps; posterior forceps; posterior forceps of corpus callosum; posterior forceps of the corpus callosum",AFQ ; JHU_Tractography ; XTRACT,"ccs-ma | corpus callosum, forceps major | corpus callosum, posterior forceps (Arnold) | forceps major corporis callosi | forceps major of corpus callosum | forceps major of the corpus callosum | forceps occipitalis | occipital forceps | posterior forceps | posterior forceps of the corpus callosum"
tapetum,SNOMED:279312006,UBERON:0000373,Callosal fibers from the body and splenium of the corpus callosum that sweep laterally to form the roof and lateral walls of the occipital and temporal horns of the lateral ventricles; lies immediately adjacent to the ependyma of the ventricle.,TAP; tapetum; tapetum of corpus callosum; tapetum corporis callosi,ICBM-DTI-81,tapetum corporis callosi
anterior thalamic radiation,,UBERON:0034746,Thalamocortical fibers connecting the anterior and mediodorsal thalamic nuclei with the prefrontal and cingulate cortex,ATR; anterior radiation of thalamus; anterior thalamic radiation; anterior thalamic radiations; athf; radiatio thalami anterior; radiationes thalamicae anteriores,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; XTRACT,anterior thalamic radiation | anterior thalamic radiations | athf | radiationes thalamicae anteriores
posterior thalamic radiation,,UBERON:0034747,"Thalamocortical fibers connecting the posterior thalamus (pulvinar, lateral geniculate nucleus) with the parietal, occipital and posterior temporal cortices; includes the optic radiation as its ventral component. In the ICBM-DTI-81 atlas this label explicitly encompasses the optic radiation.",PTR; Posterior radiation of thalamus; Radiatio posterior thalami; Radiatio thalamica posterior; Radiations thalamiques postérieures; posterior thalamic radiation; radiatio posterior thalami; radiatio thalamica posterior,ICBM-DTI-81,posterior thalamic radiation | posterior thalamic radiations | pthr | radiationes thalamicae posteriores
superior thalamic radiation,SNOMED:369211000,,Thalamocortical fibers connecting the ventral posterior thalamic nucleus with the primary somatosensory cortex,STR,TractSeg ; XTRACT,
dentato-rubro-thalamic tract,SNOMED:1296813009,UBERON:0002594,Cerebellar efferent pathway from the dentate nucleus crossing to the contralateral red nucleus and ventral lateral thalamus; involved in motor coordination,DRTT; tractus dentatothalamicus; dentatothalamic fibers; dentatothalamic tract; DT,DSI_Studio ; MGH_HCP,tractus dentatothalamicus
acoustic radiation,SNOMED:410726006,UBERON:0022262,Thalamocortical fibers from the medial geniculate nucleus to the primary auditory cortex (Heschl gyrus); also called auditory radiation,Acoustic radiations; Acoustic radiations structure; Auditory radiations; Fibrae geniculotemporales; Geniculotemporal tract; Radiatio acustica; auditory radiation; acoustic radiation; geniculotemporal radiation; geniculotemporal tract; radiatio acustica,TRACULA ; MGH_HCP ; XTRACT,auditory radiation | auditory radiations
accumbofrontal tract,,,connection of the orbitofrontal cortex (OFC) to the nucleus accumbens (NAcc),,https://pmc.ncbi.nlm.nih.gov/articles/PMC4715564/,
cingulum bundle dorsal,,,Dorsal division of the cingulum bundle (TRACULA convention); corresponds to the cingulate component,CBD,TRACULA ; MGH_HCP ; Bullock_2022 ; XTRACT,
cingulum bundle ventral,,,Ventral division of the cingulum bundle (TRACULA convention); corresponds to the hippocampal/parahippocampal component,CBV,TRACULA ; MGH_HCP ; Bullock_2022,
cingulum cingulate,,,Dorsal component of the cingulum bundle running adjacent to the cingulate gyrus,CCg,AFQ ; ICBM-DTI-81 ; Bullock_2022,
cingulum hippocampus,,,Ventral component of the cingulum bundle connecting parahippocampal gyrus to cingulate cortex,CHippo,AFQ ; ICBM-DTI-81 ; Bullock_2022,
cingulum subgenual,,,"The ventral-most component of the cingulum bundle curving around the genu of the corpus callosum and extending posteriorly against the subgenual cingulate cortex; carries fibers connecting orbitofrontal and subgenual cingulate cortex with the amygdala, hippocampus and thalamus. A primary target of deep brain stimulation for treatment-resistant major depressive disorder (Mayberg subcallosal cingulate target). Described as a distinct subdivision by Heilbronner and Haber (2014) and Bullock et al. (2022).",CBS; SCB,Bullock_2022,
cingulum periGenual,,,The peri-genual subsection of the cingulum bundle curving around the genu of the corpus callosum; connects the subgenual and anterior cingulate cortex with the orbitofrontal cortex and anterior thalamic nuclei. Defined as a distinct subdivision in the XTRACT atlas (Warrington et al. 2020). Overlaps anatomically with the subgenual cingulum; XTRACT defines the boundary by waypoint ROIs at the level of the genu.,CBP,XTRACT,
cingulum temporal,,,"The temporal subsection of the cingulum bundle running along the parahippocampal gyrus into the temporal lobe; connects posterior cingulate and retrosplenial cortex with the temporal pole, entorhinal cortex, and perirhinal cortex. Defined as a distinct subdivision in the XTRACT atlas (Warrington et al. 2020). Distinguished from the ventral/hippocampal cingulum by its more anterior temporal termination pattern.",CBT,XTRACT,
corpus callosum anterior midbody,,,Anterior portion of the corpus callosum body at the level of the primary motor cortex,CC_4,TractSeg,
corpus callosum body,SNOMED:279307005,UBERON:0015510,"The central, largest portion of the corpus callosum between the genu and splenium; fibers pass laterally through the corona radiata to connect frontal, parietal and temporal cortices of the two hemispheres",BCC; CC-BODY; corpus callosum body; truncus corporis callosi,ICBM-DTI-81,"body of corpus callosum | body of the corpus callosum | corpus callosum truncus | corpus callosum, body | corpus callosum, corpus | trunculus corporis callosi | truncus corpus callosi | trunk of corpus callosum"
corpus callosum body central,,,Central segment of the corpus callosum body,CC-BODY-C,TRACULA ; ICBM-DTI-81 ; MGH_HCP,
corpus callosum body parietal,,,Parietal segment of the corpus callosum body,CC-BODY-P,TRACULA ; MGH_HCP,
corpus callosum body prefrontal,,,Prefrontal segment of the corpus callosum body,CC-BODY-PF,TRACULA ; MGH_HCP,
corpus callosum body premotor,,,Premotor segment of the corpus callosum body,CC-BODY-PM,TRACULA ; MGH_HCP,
corpus callosum body temporal,,,Temporal segment of the corpus callosum body,CC-BODY-T,TRACULA ; MGH_HCP,
corpus callosum genu,SNOMED:279310003,UBERON:0015599,"The anterior, rostral bend of the corpus callosum connecting the two prefrontal cortices",Entire genu of corpus callosum; corpus callosum genu,TractSeg ; ICBM-DTI-81 ; MGH_HCP,"corpus callosum, genu | genu | genu corporis callosi | genu corpus callosi | genu of corpus callosum | genu of the corpus callosum | rostrum of corpus callosum (Mai)"
corpus callosum isthmus,,UBERON:0009835,The narrow portion of the corpus callosum between the body and splenium; connects superior temporal and posterior parietal areas,CC_6,TractSeg,ACC
corpus callosum posterior midbody,,,Posterior portion of the corpus callosum body at the level of the primary somatosensory cortex,CC_5,TractSeg,
corpus callosum rostral body,,,Rostral body of the corpus callosum at the level of the premotor and supplementary motor cortex,CC_3,TractSeg,
corpus callosum rostrum,SNOMED:279311004,UBERON:0015703,The most anterior and ventral portion of the corpus callosum; connects orbitofrontal regions,CC_1,TractSeg ; MGH_HCP,"corpus callosum rostrum | corpus callosum, rostrum | rostrum | rostrum corporis callosi | rostrum corpus callosi | rostrum of corpus callosum | rostrum of the corpus callosum"
corpus callosum splenium,SNOMED:369085008,UBERON:0022430,The posterior bulbous end of the corpus callosum connecting the occipital and posterior parietal lobes; carries visual callosal fibers,CC_7; cingulum (Ammon's horn); cingulum (hippocampus); cingulum bundle in hippocampus,TractSeg ; ICBM-DTI-81 ; MGH_HCP,
corticopontine tract,SNOMED:362408003,UBERON:0022271,Fibers from cortex projecting to the pontine nuclei via the cerebral peduncle; includes frontal (FPT) and parieto-occipital (POPT) components,CPT; FPT; cortico-pontine fibers; corticopontine fibers; tractus corticopontinus; fibrae corticopontinae; cortico-pontine fibers | cortico-pontine fibers; pontine part | corticopontine fibers | corticopontine fibers of pons | corticopontine fibers set | corticopontine fibres | fibrae corticopontinae | tractus corticopontinus,DSI_Studio ; Bullock_2022,corticopontine | corticopontine fibres
corticostriatal tract,,,"Fibers from motor, premotor, prefrontal and other cortical areas projecting to the caudate nucleus and putamen",CStr,DSI_Studio,
fornix,SNOMED:87463005,UBERON:0000022,"The major efferent tract of the hippocampus, arching from the hippocampus under the corpus callosum to the mammillary bodies and septal nuclei",FX; Fornix cerebri; Fornix of forebrain; Forebrain fornix,TractSeg ; ICBM-DTI-81 ; Bullock_2022 ; XTRACT,
fornix cres stria terminalis,,,A ICBM-DTI-81 atlas label covering fibers of the fimbria-fornix and stria terminalis that cannot be resolved as separate structures at standard DTI resolution. The stria terminalis runs along the medial aspect of the caudate nucleus carrying amygdalofugal fibers to the hypothalamus and bed nucleus of the stria terminalis. Labeled as a combined entry in ICBM-DTI-81 because both structures share the same spatial volume at 1-2mm isotropic resolution.,FX/ST; ST,ICBM-DTI-81,
frontal aslant tract,,,"Short frontal association tract connecting the supplementary motor area complex (SMA, pre-SMA) and lateral superior frontal gyrus to the pars opercularis and pars triangularis of the inferior frontal gyrus and the anterior insula (middle insular area); runs in an oblique aslant orientation within the frontal lobe, medial to SLF II and lateral to the frontostriatal tract. Involved in speech initiation and inhibition, verbal fluency, lexical decision, working memory, visuo-motor integration, and inhibitory motor control. Left-lateralized in most right-handed adults. Insula termination via the salience network node at the fronto-insular cortex established by La Corte et al. 2021 (PMC7959833).",FAT,TRACULA ; MGH_HCP ; XTRACT ; La_Corte_2021_PMC7959833,
fronto-pontine tract,SNOMED:1296815002,,,FPT,TractSeg ; MGH_HCP ; Bullock_2022,
inferior fronto-occipital fasciculus,SNOMED:369087000,UBERON:0034753,Long association bundle passing through the external/extreme capsule connecting frontal lobe with occipital and posterior temporal cortex; runs ventral to the uncinate fasciculus,IFO; IFOF; inferior occipitofrontal fasciculus,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,fasciculus occipito-frontalis inferior | fasciculus occipitofrontalis inferior | inferior fronto-occipital fasciculus | inferior occipitofrontal fasciculus
anterior limb of internal capsule,SNOMED:3003007,UBERON:0014526,"The anterior subdivision of the internal capsule lying between the head of the caudate nucleus and the anterior lentiform nucleus; carries frontopontine fibers, corticostriatal fibers, and the anterior thalamic radiation connecting mediodorsal and anterior thalamic nuclei with prefrontal and anterior cingulate cortex. A major target for deep brain stimulation and capsulotomy in treatment-resistant OCD and depression.",ALIC; capsula interna; pars anterior | crus anterius capsulae internae,ICBM-DTI-81 ; Bullock_2022,anterior internal capsule | anterior limb
posterior limb of internal capsule,SNOMED:54728004,UBERON:0014527,"The posterior subdivision of the internal capsule lying between the thalamus and the posterior lentiform nucleus; carries the corticospinal and corticobulbar tracts, superior thalamic radiation, and parietopontine and temporopontine fibers. Damage produces contralateral hemiplegia; the posterior limb is the most clinically critical segment of the internal capsule.",PLIC; capsula interna; pars posterior | crus posterius capsulae internae,ICBM-DTI-81 ; Bullock_2022,posterior internal capsule | posterior limb | posterior limb of the internal capsule
retrolenticular part of internal capsule,,UBERON:0034749,"The portion of the internal capsule posterior to the lentiform nucleus; carries the posterior thalamic radiation including the optic radiation from the lateral geniculate nucleus, and parietopontine and occipito-pontine fibers. Damage produces contralateral hemianopia.",RLIC; pars retrolentiformis; postlenticular portion of internal capsule; retrolenticular limb; retrolentiform limb,ICBM-DTI-81,pars retrolenticularis capsulae internae | pars retrolentiformis (capsulae internae) | postlenticular portion of internal capsule | retrolenticular part of internal capsule | retrolenticular part of the internal capsule
medial lemniscus,SNOMED:30114003,UBERON:0003002,Sensory pathway carrying discriminative touch and proprioception from the contralateral body; ascends through the brainstem to the thalamus,Lemniscus medialis; Medial lemniscus; Medial lemniscus structure,DSI_Studio ; ICBM-DTI-81,lemniscus medialis | Reil's band | Reil's ribbon
cerebral crus,,UBERON:0002631,"anterior, superficial portion of the cerebral peduncle located in the midbrain. It consists entirely of white matter tracts descending from the cerebral cortex",crus cerebri; crura cerebri; base of cerebral peduncle; cerebral peduncle (clinical definition); CCR,,"base of cerebral peduncle | basis cerebri (Oertel) | basis pedunculi (Oertel) | basis pedunculi cerebri (Willis) | cerebral peduncle, basal part | crus cerebri | crus of the cerebral peduncle | pars neo-encephalica pedunculi | pedunculus cerebri, pars basalis | pes pedunculi | pes pedunculi of midbrain"
cerebral peduncle,SNOMED:362391000,UBERON:0002623,"paired, pillar-like structures in the midbrain that connect the cerebrum to the brainstem. They carry major descending motor pathways (like the corticospinal tract).",Entire cerebral peduncle; Basis pedunculi; peduncle of midbrain; pedunculus cerebri; pedunculus cerebralis; pedunculi cerebri; cerebral peduncle; CP,ICBM-DTI-81,cerebal peduncle | cerebral peduncle (archaic) | pedunculi cerebri | pedunculus cerebralis | pedunculus cerebri | tegmentum
inferior cerebellar peduncle,SNOMED:362418008,UBERON:0002163,Carries afferents to the cerebellum from the spinal cord (spinocerebellar) and brainstem (olivocerebellar); also contains efferent fibers,ICP; corpus restiforme; restiform body,TractSeg ; ICBM-DTI-81,crus cerebelli ad medullam oblongatam | crus medullo-cerebellare | inferior cerebellar peduncle (restiform body) | inferior cerebellar peduncle (Ridley) | inferior peduncle | pedunculus cerebellaris caudalis | pedunculus cerebellaris inferior
middle cerebellar peduncle,SNOMED:279219000,UBERON:0002152,The largest cerebellar peduncle; carries pontocerebellar fibers from the contralateral pontine nuclei to the cerebellar cortex,MCP; brachium pontis,TractSeg ; ICBM-DTI-81 ; XTRACT,brachium pontis (stem of middle cerebellar peduncle) | crus cerebelli ad pontem | crus ponto-cerebellare | mid-cerebellar peduncle | pedunculus cerebellaris medialis | pedunculus cerebellaris medius | pedunculus cerebellaris pontinus
superior cerebellar peduncle,SNOMED:279218008,UBERON:0002150,Primary efferent pathway of the cerebellum; carries dentate nucleus output to the contralateral red nucleus and thalamus,SCP; brachium conjunctivum,TractSeg ; ICBM-DTI-81,"crus cerebello-cerebrale | pedunculus cerebellaris cranialis | pedunculus cerebellaris rostralis | pedunculus cerebellaris superior | scp | superior cerebelar peduncles | superior cerebellar peduncle (brachium conjuctivum) | superior cerebellar peduncle (brachium conjunctivum) | superior cerebellar peduncle (Galen, Stilling) | superior peduncle | tractus cerebello-rubralis | tractus cerebello-tegmentalis mesencephali"
optic radiation,SNOMED:280953008,UBERON:0022264,Geniculocalcarine tract carrying visual information from the lateral geniculate nucleus to the primary visual cortex; includes Meyer loop (lower visual field) inferolaterally through temporal lobe,Geniculocalcarine tract; Optic radiation; Structure of optic radiation; Gratiolet's radiation,TractSeg ; MGH_HCP ; XTRACT,archambault%27s loop | genicula-celcarine tract | geniculo-calcarine tract | geniculocalcarine tract | geniculostriate pathway | meyer's loop | optic radiations | radiatio optica | railroad nystagmus
pontine crossing tract,,UBERON:0022421,Transverse pontine fibers crossing the midline within the middle cerebellar peduncle; these fibers originate from the pontine nuclei and project to the contralateral cerebellum. In DTI they are identifiable as the decussating component of the MCP and cannot be fully separated from the surrounding peduncle at standard resolution.,PCT; pontocerebellar tract; ponto-cerbellar tract; fibrae pontocerebellaris; pontocerebellar fibers; tractus pontocerebellaris; pontine crossing tract,ICBM-DTI-81,pncb
parieto-occipital pontine tract,,,Corticopontine fibers from parietal and occipital cortex projecting to the pontine nuclei via the posterior limb of the internal capsule,POPT,TractSeg ; MGH_HCP ; Bullock_2022,
reticulospinal tract,SNOMED:1296557000,UBERON:0022943,The reticulospinal tract (or anterior reticulospinal tract) is an extrapyramidal motor tract which travels from the reticular formation,RET; reticulospinal tract,DSI_Studio,
medulla reticulospinal tract,SNOMED:1296563009,UBERON:0004173,Reticulospinal fibers from the reticular formation of the brainstem descending to the spinal cord; modulates muscle tone and autonomic functions,Medullary reticulospinal tract; medullary reticulospinal tract,DSI_Studio,
pontine reticulospinal tract,,,Axon tract that carries efferent (outgoing) action potentials from the cell body in the pons towards target cells in the spinal cord.,pons reticulospinal tract,DSI_Studio,
striato-fronto-orbital tract,,,Corticostriatal fibers between orbitofrontal cortex and striatum,ST_FO,TractSeg,
striato-occipital tract,,,Corticostriatal fibers between occipital cortex and striatum,ST_OCC,TractSeg,
striato-parietal tract,,,Corticostriatal fibers between parietal cortex and striatum,ST_PAR,TractSeg,
striato-postcentral tract,,,Corticostriatal fibers between somatosensory cortex and striatum,ST_POSTC,TractSeg,
striato-precentral tract,,,Corticostriatal fibers between primary motor cortex and striatum,ST_PREC,TractSeg,
striato-prefrontal tract,,,Corticostriatal fibers between prefrontal cortex and striatum,ST_PREF,TractSeg,
striato-premotor tract,,,Corticostriatal fibers between premotor cortex and striatum,ST_PREM,TractSeg,
arcuate fasciculus,SNOMED:727100000,UBERON:0035937,A curved bundle connecting temporal and frontal cortex; now considered a subdivision of the superior longitudinal fasciculus connecting Wernicke area to Broca area,AF; AR; ARF; arcuate fascicle; arcuate fasciculus; cerebral arcuate fasciculus; fasciculus arcuatus; fibrae arcuatae cerebri ; SLF IV  ; direct SLF,AFQ ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,AF | arcuate fascicle | arcuate fasciculus | ARF | fibrae arcuatae cerebri
posterior arcuate fasciculus,,,"vertically oriented tract, posterior segment of the arcuate fasciculus connecting posterior superior temporal gyrus with inferior parietal lobule",pArc ; SLF-V ; vertical arcuate fasciculus ; vertical SLF ; perisylvian SLF ; posterior SLF ; indirect arcuate fasciculus ; temporo-parietal aslant tract ; parietotemporal long association fibers ; anterior vertical occipital fasciculus,Pestilli_Brainlife ; Bullock_2022,
inferior longitudinal fasciculus,SNOMED:369085008,UBERON:0034743,Long association bundle along the lateral temporal and occipital lobes connecting occipital cortex with the temporal pole and amygdala,ILF; external sagittal stratum; fasciculus fronto-occipitalis inferior; fasciculus longitudinalis inferior; ilf,AFQ ; ICBM-DTI-81 ; JHU_Tractography ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,external sagittal stratum | fasciculus fronto-occipitalis inferior | fasciculus longitudinalis inferior | ilf
middle longitudinal fasciculus,,,"connects the parietal and temporal lobes traversing the white matter medial to the lateral fissure. The details of its connections, however, have historically been the subject of debate. Early tractography reports of the MdLF alternatively depicted it as primarily extending to either the superior parietal lobule",MLF; MdLF,TractSeg ; Bullock_2022 ; Pestilli_Brainlife ; XTRACT,
middle longitudinal fasciculus angular,,,The angular gyrus subdivision of the middle longitudinal fasciculus; connects the superior temporal gyrus with the inferior parietal lobule (angular gyrus). Identified as a distinct component in Bullock et al. 2019 and Makris et al. 2013. Corresponds to the inferior parietal termination consistent with monkey tract-tracing data.,MdLF-Ang,Pestilli_Brainlife ; Bullock_2022,
middle longitudinal fasciculus superior parietal,,,"The superior parietal lobule subdivision of the middle longitudinal fasciculus; connects the superior temporal gyrus with the superior parietal lobule. Described in Bullock et al. 2019 and Makris et al. 2013. This component is debated: monkey tract-tracing does not show strong superior temporal to superior parietal connectivity, raising the possibility of a human-specific pathway or tractography false positive.",MdLF-SPL,Pestilli_Brainlife ; Bullock_2022,
superior longitudinal fasciculus,SNOMED:369082006,UBERON:0022246,"Large association bundle in the dorsolateral white matter connecting frontal, parietal, temporal and occipital lobes; contains the arcuate fasciculus and subdivides into SLF I-III",SLF; superior longitudinal fascicle,AFQ ; ICBM-DTI-81 ; Bullock_2022 ; Pestilli_Brainlife,superior longitudinal fascicle
superior longitudinal fasciculus I,,,Dorsomedial SLF subdivision connecting precuneus and superior parietal lobule with supplementary motor area and dorsomedial prefrontal cortex,SLF-I; SLF_I,TractSeg ; Bullock_2022 ; XTRACT,
superior longitudinal fasciculus II,,,Middle SLF subdivision connecting angular gyrus with dorsolateral prefrontal cortex,SLF-II; SLF_II,TractSeg ; Bullock_2022 ; XTRACT,
superior longitudinal fasciculus III,,,Ventral SLF subdivision in the frontal and parietal operculum connecting supramarginal gyrus with inferior frontal gyrus,SLF-III; SLF_III,TractSeg ; Bullock_2022 ; XTRACT,
temporo-parietal connection to superior parietal lobule,,,Association fibers connecting superior temporal cortex with the superior parietal lobule,TP-SPL,Pestilli_Brainlife ; Bullock_2022,
thalamo-occipital tract,,,Thalamocortical fibers connecting the pulvinar with occipital cortex,T_OCC,TractSeg,
thalamo-parietal tract,,,Thalamocortical fibers connecting pulvinar and LP nucleus with posterior parietal cortex,T_PAR,TractSeg,
thalamo-postcentral tract,,,Thalamocortical fibers connecting ventral posterior thalamic nucleus with primary somatosensory cortex,T_POSTC,TractSeg,
thalamo-precentral tract,,,Thalamocortical fibers connecting ventral lateral thalamic nucleus with primary motor cortex,T_PREC,TractSeg,
thalamo-prefrontal tract,,,Thalamocortical fibers connecting mediodorsal and anterior thalamic nuclei with prefrontal cortex,T_PREF,TractSeg,
thalamo-premotor tract,,,Thalamocortical fibers connecting ventral lateral thalamic nucleus with premotor cortex,T_PREM,TractSeg,
vertical occipital fasciculus,SNOMED:80434005,,"dorsal-ventrally running tract lateral to the calcarine sulcus and the optic radiation. It connects dorsal and ventral regions of the occipital lobe, may help to connect the early dorsal visual stream",Perpendicular fasciculus; Structure of vertical occipital fasciculus; Vertical occipital fasciculus,Pestilli_Brainlife ; Bullock_2022 ; XTRACT,
corona radiata,,UBERON:0004682,"Fan shaped white matter mass comprised of afferent and efferent fibers from the cerebral cortex arranged in radially arrayed bundles, converging towards the internal capsule.",corona radiata of neuraxis; corona radiata,ICBM-DTI-81,
